SameGender TimeDifference Batch_X Batch_Y MatchPercentage
True 3 6 6 97
True 28 2 3 72
True 86 6 7 14
True 75 4 3 25
True 11 2 1 89
True 71 2 3 29
False 28 4 5 62
False 0 2 3 90
False 43 3 2 47
True 97 3 2 3
True 48 1 1 52
False 77 3 2 13
False 68 1 1 22
True 70 3 4 30
False 73 2 3 17
True 5 6 5 95
False 10 2 1 80
False 35 4 5 55
False 20 3 3 70
True 85 3 4 15
True 77 6 5 23
True 20 4 4 80
False 81 6 7 9
True 87 3 2 13
True 4 3 3 96
False 8 2 3 82
False 27 6 6 63
False 82 4 3 8
False 17 2 3 73
False 95 5 5 0
False 46 2 1 44
False 11 1 0 79
True 80 2 3 20
False 76 1 1 14
False 76 4 5 14
False 70 1 2 20
True 87 5 5 13
False 14 3 3 76
True 58 1 2 42
False 64 2 3 26
True 80 3 4 20
True 19 3 2 81
True 76 3 3 24
True 14 3 3 86
True 7 2 3 93
True 10 6 6 90
True 97 5 4 3
True 84 4 5 16
True 33 5 6 67
False 27 5 6 63
True 91 3 3 9
False 56 5 5 34
True 31 2 1 69
False 2 5 6 88
True 75 2 1 25
True 90 6 5 10
True 8 1 1 92
True 65 2 2 35
False 27 5 4 63
False 31 4 4 59
True 12 1 2 88
False 45 4 4 45
False 93 1 2 0
True 7 4 5 93
False 13 2 1 77
True 68 4 3 32
False 23 3 3 67
True 9 4 5 91
True 6 6 7 94
True 11 2 1 89
False 62 4 3 28
False 7 2 2 83
True 49 3 3 51
False 54 6 7 36
False 19 2 2 71
True 7 5 6 93
True 95 3 2 5
True 74 4 5 26
True 7 5 4 93
True 8 5 4 92
True 51 1 2 49
True 74 5 4 26
True 53 6 7 47
False 33 2 3 57
False 30 3 3 60
True 85 6 6 15
False 40 1 0 50
False 79 5 4 11
True 68 2 3 32
False 16 3 2 74
True 47 3 2 53
False 69 6 6 21
True 85 5 5 15
True 17 3 2 83
True 95 5 4 5
False 36 5 4 54
False 26 6 7 64
False 64 4 4 26
True 11 6 6 89
False 5 1 1 85
True 81 3 2 19
False 70 6 6 20
True 14 1 2 86
True 69 1 1 31
True 55 2 1 45
False 46 1 1 44
True 87 2 3 13
True 45 5 5 55
True 30 2 1 70
False 3 2 3 87
False 100 4 5 0
True 34 2 3 66
True 48 1 1 52
True 25 4 4 75
False 29 2 1 61
True 51 3 3 49
True 98 3 3 2
False 86 5 5 4
True 14 3 2 86
False 4 1 2 86
False 44 6 6 46
False 77 5 4 13
False 73 2 2 17
True 90 4 3 10
True 46 4 3 54
False 79 3 4 11
True 92 3 4 8
False 85 4 4 5
False 89 3 4 1
True 24 4 5 76
False 86 6 5 4
False 51 5 4 39
False 36 2 2 54
False 59 4 4 31
True 65 4 5 35
True 84 1 1 16
False 11 2 3 79
False 28 2 1 62
True 5 2 2 95
True 58 4 5 42
True 91 6 6 9
False 51 2 1 39
True 96 1 1 4
True 22 6 7 78
False 6 5 4 84
True 58 2 2 42
False 96 4 5 0
False 70 4 3 20
False 57 3 2 33
False 98 5 5 0
True 35 4 3 65
False 30 3 3 60
False 69 1 0 21
True 29 4 5 71
True 90 2 1 10
False 52 3 4 38
False 53 1 0 37
False 49 5 6 41
True 97 5 5 3
False 0 3 3 90
False 53 5 6 37
True 62 2 2 38
False 62 1 1 28
False 85 6 6 5
True 59 2 3 41
True 50 5 6 50
True 10 6 6 90
True 59 2 1 41
False 48 3 2 42
False 41 3 3 49
False 96 4 4 0
True 60 1 2 40
True 44 2 3 56
True 99 6 5 1
True 31 2 1 69
True 30 2 2 70
True 72 2 2 28
False 98 3 2 0
True 99 2 2 1
True 74 1 1 26
False 50 6 5 40
True 75 6 7 25
True 13 6 6 87
True 72 1 1 28
False 84 3 2 6
False 1 4 4 89
True 55 3 4 45
False 90 2 2 0
True 93 5 6 7
False 78 5 5 12
False 55 6 7 35
False 41 2 1 49
False 57 2 2 33
False 43 1 1 47
False 23 4 3 67
False 33 3 3 57
False 71 1 2 19
True 10 2 3 90
False 62 5 4 28
False 82 6 6 8
False 2 1 1 88
True 51 6 5 49
False 84 5 5 6
False 70 5 5 20
False 95 5 5 0
False 89 4 4 1
False 32 2 1 58
True 40 1 2 60
True 24 2 3 76
False 35 6 7 55
False 12 2 2 78
True 46 2 2 54
True 90 5 4 10
False 5 1 2 85
False 89 2 3 1
False 13 1 2 77
False 60 4 4 30
False 23 1 1 67
False 14 1 1 76
False 9 5 6 81
True 19 2 3 81
False 10 2 1 80
False 77 5 6 13
True 99 5 5 1
False 56 3 4 34
False 39 5 6 51
True 78 6 5 22
True 80 2 2 20
True 20 2 1 80
True 20 1 1 80
False 88 5 5 2
False 4 2 2 86
False 89 4 3 1
True 33 6 7 67
True 54 1 2 46
True 82 2 2 18
True 9 1 0 91
False 76 6 7 14
False 56 1 1 34
False 89 4 4 1
False 56 1 2 34
True 55 6 6 45
False 3 1 0 87
True 97 6 6 3
True 97 2 2 3
False 35 2 3 55
False 81 4 3 9
False 44 4 4 46
False 85 1 0 5
False 52 6 6 38
False 84 4 5 6
True 58 1 1 42
False 41 1 1 49
True 84 5 5 16
False 6 2 3 84
False 79 4 5 11
False 97 1 0 0
False 70 2 2 20
False 89 4 3 1
True 80 5 4 20
True 39 5 4 61
False 11 2 1 79
False 15 6 5 75
False 91 3 4 0
False 53 4 4 37
True 58 5 4 42
False 24 5 6 66
True 8 3 3 92
False 100 5 5 0
True 36 6 6 64
False 19 4 5 71
False 44 3 4 46
False 58 3 2 32
True 73 4 3 27
False 5 3 4 85
False 90 4 4 0
True 63 1 0 37
False 12 4 3 78
False 1 6 5 89
False 83 2 1 7
False 100 3 3 0
False 83 1 1 7
False 40 6 7 50
False 69 1 2 21
True 30 6 7 70
False 29 6 5 61
False 12 6 7 78
True 56 2 3 44
False 3 1 1 87
True 37 3 3 63
False 18 2 3 72
False 72 6 5 18
True 22 1 2 78
False 79 6 5 11
False 74 2 1 16
False 81 3 3 9
False 85 1 1 5
False 86 5 4 4
True 56 3 4 44
False 81 4 5 9
False 58 3 2 32
False 61 1 0 29
False 73 3 4 17
False 89 3 2 1
False 35 1 2 55
True 77 6 6 23
False 99 2 3 0
False 28 6 5 62
False 86 6 7 4
True 80 1 2 20
True 39 4 3 61
False 93 2 1 0
False 41 6 6 49
True 25 2 3 75
False 67 5 5 23
True 32 4 4 68
False 14 4 3 76
True 96 2 3 4
False 71 3 2 19
False 1 3 4 89
True 58 3 4 42
False 74 4 5 16
False 13 6 5 77
False 3 5 6 87
False 78 2 3 12
True 81 4 5 19
False 83 4 3 7
True 5 1 1 95
False 14 1 0 76
True 49 4 4 51
False 75 6 7 15
True 53 6 5 47
False 78 4 4 12
True 88 3 2 12
False 56 2 2 34
True 87 3 4 13
False 7 4 4 83
True 15 4 3 85
True 82 6 7 18
True 6 3 2 94
True 100 5 4 0
True 97 5 4 3
True 29 3 2 71
True 35 2 1 65
False 22 1 2 68
True 16 1 1 84
True 75 3 2 25
True 33 1 0 67
False 67 1 2 23
True 60 4 4 40
True 57 5 4 43
True 93 6 7 7
False 58 6 5 32
True 61 4 4 39
True 62 6 6 38
True 10 3 4 90
True 8 2 2 92
False 48 5 6 42
False 58 5 6 32
False 12 6 5 78
True 55 4 3 45
False 43 4 4 47
False 93 1 1 0
False 40 6 6 50
False 19 6 6 71
True 11 1 0 89
False 12 6 7 78
False 16 5 4 74
False 85 1 1 5
False 85 4 5 5
True 36 5 5 64
False 13 5 6 77
True 19 6 6 81
True 13 3 4 87
False 14 3 4 76
